本地频道,#genre#
中央10高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000321/index.m3u8#http://39.137.78.214:8089/wh7f454c46tw3814306810_-1379272472/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000321/index.m3u8?icpid=88888888&RTS=1633878093&from=4&hms_devid=2758&online=1633878093&vqe=3
#http://39.137.78.214:8089/wh7f454c46tw3814306810_-1379272472/2/00/CHANNEL00000321/9470800/1.m3u8
中央11高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000344/index.m3u8#http://120.221.2.232:8089/wh7f454c46tw3872262810_-705379477/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000344/index.m3u8?icpid=88888888&RTS=1633878151&from=4&hms_devid=319&online=1633878151&vqe=3
#http://120.221.2.232:8089/wh7f454c46tw3872262810_-705379477/2/00/CHANNEL00000344/9470800/1.m3u8
中央12高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000322/index.m3u8#http://39.136.48.105:8089/wh7f454c46tw3950504892_1047980395/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000322/index.m3u8?icpid=88888888&RTS=1633878229&from=4&hms_devid=2756&online=1633878229&vqe=3
http://39.136.48.105:8089/wh7f454c46tw3950504892_1047980395/2/00/CHANNEL00000322/9470800/1.m3u8
中央13高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000345/index.m3u8#http://223.99.185.48:8089/wh7f454c46tw4003305789_-1461627552/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000345/index.m3u8?icpid=88888888&RTS=1633878282&from=4&hms_devid=313&online=1633878282&vqe=3
#http://223.99.185.48:8089/wh7f454c46tw4003305789_-1461627552/2/00/CHANNEL00000345/9470800/1.m3u8
中央14高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000323/index.m3u8#http://39.136.48.98:8089/wh7f454c46tw4076086615_1449212638/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000323/index.m3u8?icpid=88888888&RTS=1633878354&from=4&hms_devid=2753&online=1633878354&vqe=3
#http://39.136.48.98:8089/wh7f454c46tw4076086615_1449212638/2/00/CHANNEL00000323/9470800/1.m3u8
中央15高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000346/index.m3u8#http://223.99.185.41:8089/wh7f454c46tw4119814766_-2082086555/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000346/index.m3u8?icpid=88888888&RTS=1633878398&from=4&hms_devid=315&online=1633878398&vqe=3
#http://223.99.185.41:8089/wh7f454c46tw4119814766_-2082086555/2/00/CHANNEL00000346/9470800/1.m3u8
中央17高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000303/index.m3u8#http://39.136.48.99:8089/wh7f454c46tw4198262048_1861005186/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000303/index.m3u8?icpid=88888888&RTS=1633878477&from=4&hms_devid=2753&online=1633878477&vqe=3
#http://39.136.48.99:8089/wh7f454c46tw4198262048_1861005186/2/00/CHANNEL00000303/9470800/1.m3u8
中央4中文国际欧洲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000350/index.m3u8#http://39.134.148.189:8089/wh7f454c46tw19904102_676438590/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000350/index.m3u8?icpid=88888888&RTS=1633878593&from=4&hms_devid=594&online=1633878593&vqe=3
#http://39.134.148.189:8089/wh7f454c46tw19904102_676438590/2/00/CHANNEL00000350/9470800/1.m3u8
中央4中文国际美洲,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000351/index.m3u8#http://39.134.148.189:8089/wh7f454c46tw155432217_918789368/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000351/index.m3u8?icpid=88888888&RTS=1633878729&from=4&hms_devid=594&online=1633878729&vqe=3
#http://39.134.148.189:8089/wh7f454c46tw155432217_918789368/2/00/CHANNEL00000351/9470800/1.m3u8
CETV1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000076/index.m3u8
CETV4,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000666/index.m3u8
中央CGTN纪录频道1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000352/index.m3u8
中央CGTN纪录频道2,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000353/index.m3u8
中央CGTN纪录频道3,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000354/index.m3u8
中央CGTN纪录频道4,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000355/index.m3u8
中央CGTN纪录频道5,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000356/index.m3u8
中央CGTN纪录频道6,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000357/index.m3u8
省级卫视,#genre#
湖南卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000324/index.m3u8
湖北卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000325/index.m3u8
辽宁卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000326/index.m3u8
浙江卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000305/index.m3u8
东方卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000309/index.m3u8
江苏卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000304/index.m3u8
北京卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000302/index.m3u8
天津卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000327/index.m3u8
安徽卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000328/index.m3u8
深圳卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000308/index.m3u8
东南卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000310/index.m3u8
广东卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000307/index.m3u8
黑龙江卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000306/index.m3u8
重庆卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000341/index.m3u8
贵州卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000329/index.m3u8
江西卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000335/index.m3u8
河北卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000330/index.m3u8
河南卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000358/index.m3u8
甘肃卫视高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000349/index.m3u8
特色频道,#genre#
书画,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000651/index.m3u8
武术世界,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000657/index.m3u8
梨园频道,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000656/index.m3u8#http://php.jdshipin.com:8880/hntv.php?id=hnly#http://119.123.219.79:808/hls/159/index.m3u8
睛彩中原,http://php.jdshipin.com:8880/hntv.php?id=jczy
河南戏曲,http://222.140.10.248:808/hls/25/index.m3u8
移动戏曲,http://222.140.10.248:808/hls/146/index.m3u8
文物宝库,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000658/index.m3u8
快乐垂钓,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000648/index.m3u8
四海钓鱼,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000640/index.m3u8
中华特产,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000642/index.m3u8
车迷频道,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000645/index.m3u8
湖南茶频道,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000649/index.m3u8
海洋频道,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000662/index.m3u8
上海纪实人文,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000333/index.m3u8
湖南金鹰纪实,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000334/index.m3u8
国学频道,http://php.jdshipin.com:8880/hntv.php?id=gxpd
河南新闻频道,http://222.140.10.248:808/hls/22/index.m3u8
河南民生,http://222.140.10.248:808/hls/19/index.m3u8
河南法制,http://222.140.10.248:808/hls/20/index.m3u8
河南乡村,http://222.140.10.248:808/hls/24/index.m3u8
河南公共，http://222.140.10.248:808/hls/23/index.m3u8
河南电视剧,http://php.jdshipin.com:8880/hntv.php?id=hndsj#http://222.140.10.248:808/hls/21/index.m3u8
河南电视剧,http://222.140.10.248:808/hls/21/index.m3u8
河南国际,http://php.jdshipin.com:8880/hntv.php?id=hngj
河南都市频道,http://222.140.10.248:808/hls/18/index.m3u8
少儿动漫,#genre#
优优宝贝,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000641/index.m3u8
新动漫,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000659/index.m3u8
金鹰卡通,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000047/index.m3u8
卡酷少儿,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000661/index.m3u8
优漫卡通,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000049/index.m3u8
哈哈炫动,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000050/index.m3u8
山东少儿高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000340/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000375/index.m3u8#http://39.137.78.215:8089/wh7f454c46tw4181116473_85988110/2/00/CHANNEL00000340/9470800/1.m3u8#http://39.136.48.102:8089/wh7f454c46tw1839618925_-1602770183/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000340/index.m3u8?icpid=88888888&RTS=1633876118&from=4&hms_devid=2754&online=1633876118&vqe=3
省内市县,#genre#
济南新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000312/index.m3u8
临沂公共,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000256/index.m3u8
泰安综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000269/index.m3u8
临沭综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001094/index.m3u8
沂南综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001096/index.m3u8
红色影视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001097/index.m3u8
东平综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001001/index.m3u8
淄川新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001007/index.m3u8
商河综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001008/index.m3u8
惠民综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001009/index.m3u8
莒南综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001011/index.m3u8
张店综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001012/index.m3u8
岱岳综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001013/index.m3u8
嘉祥综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001016/index.m3u8
长清综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001018/index.m3u8
桓台综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001020/index.m3u8
高清综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001023/index.m3u8
无棣综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001024/index.m3u8
枣庄新闻,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001025/index.m3u8
枣庄经济,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001026/index.m3u8
滕州综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001028/index.m3u8
新泰综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001029/index.m3u8
济阳综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001030/index.m3u8
蒙阴综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001031/index.m3u8
兰陵综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001032/index.m3u8
兰陵公共,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001095/index.m3u8
金乡综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001034/index.m3u8
沾化综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001035/index.m3u8
阳信综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001036/index.m3u8
淄博影视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001037/index.m3u8
邹城综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001038/index.m3u8
肥城综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001039/index.m3u8
冠县综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001040/index.m3u8
临清综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001103/index.m3u8
莘县综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001047/index.m3u8
茌平综合,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00001048/index.m3u8
